awb,pickup_area,pickup_point,delivery_area,delivery_point,current_stage,pickup_at,last_stage_at,completed_stop_order,route_hub_count,scenario_key
ANT-FRZ-0001,Jakarta Pusat,"Kemayoran, Jakarta Pusat",Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",PICKED_UP,2026-09-18 14:55,2026-09-18 14:55,0,3,PICKED_UP_3HUB
ANT-FRZ-0002,Jakarta Timur,"Cakung, Jakarta Timur",Jakarta Utara,"Koja, Jakarta Utara",IN_TRANSIT,2026-09-18 14:55,2026-09-18 16:02,1,1,IN_TRANSIT_1HUB
ANT-FRZ-0003,Bogor,"Tanah Sareal, Bogor",Tangerang,"Karawaci, Tangerang",PICKED_UP,2026-09-18 14:49,2026-09-18 14:49,0,2,PICKED_UP_2HUB
ANT-FRZ-0004,Tangerang Selatan,"Ciputat, Tangerang Selatan",Bekasi,"Bekasi Timur, Bekasi",IN_TRANSIT,2026-09-18 14:49,2026-09-18 16:00,1,1,IN_TRANSIT_1HUB
ANT-FRZ-0005,Jakarta Barat,"Kebon Jeruk, Jakarta Barat",Jakarta Timur,"Duren Sawit, Jakarta Timur",PICKED_UP,2026-09-18 14:43,2026-09-18 14:43,0,2,PICKED_UP_2HUB
ANT-FRZ-0006,Bekasi,"Bekasi Barat, Bekasi",Tangerang Selatan,"Serpong, Tangerang Selatan",OUT_FOR_DELIVERY,2026-09-18 11:21,2026-09-18 15:58,3,3,OUT_FOR_DELIVERY_3HUB
ANT-FRZ-0007,Tangerang,"Cipondoh, Tangerang",Bogor,"Bogor Utara, Bogor",PICKED_UP,2026-09-18 14:37,2026-09-18 14:37,0,2,PICKED_UP_2HUB
ANT-FRZ-0008,Jakarta Utara,"Tanjung Priok, Jakarta Utara",Jakarta Timur,"Duren Sawit, Jakarta Timur",OUT_FOR_DELIVERY,2026-09-18 13:55,2026-09-18 15:56,1,1,OUT_FOR_DELIVERY_1HUB
ANT-FRZ-0009,Jakarta Selatan,"Cilandak, Jakarta Selatan",Jakarta Pusat,"Senen, Jakarta Pusat",AT_HUB,2026-09-18 15:02,2026-09-18 15:55,1,2,AT_HUB_2HUB
ANT-FRZ-0010,Depok,"Beji, Depok",Tangerang,"Karawaci, Tangerang",OUT_FOR_DELIVERY,2026-09-18 13:47,2026-09-18 15:54,1,1,OUT_FOR_DELIVERY_1HUB
