hub_code,display_name,area,latitude,longitude
JKT-PST,Hub Jakarta Pusat,Jakarta Pusat,-6.1754,106.8272
JKT-UTR,Hub Jakarta Utara,Jakarta Utara,-6.1384,106.8639
JKT-BRT,Hub Jakarta Barat,Jakarta Barat,-6.1683,106.7588
JKT-TMR,Hub Jakarta Timur,Jakarta Timur,-6.225,106.9004
JKT-SLT,Hub Jakarta Selatan,Jakarta Selatan,-6.2615,106.8106
BKS,Hub Bekasi,Bekasi,-6.2416,106.9924
BGR,Hub Bogor,Bogor,-6.595,106.8166
DPK,Hub Depok,Depok,-6.4025,106.7942
TGR,Hub Tangerang,Tangerang,-6.1783,106.6319
TGS,Hub Tangerang Selatan,Tangerang Selatan,-6.2886,106.7179
