route_stop_id,awb,stop_order,point_type,hub_code,display_name,latitude,longitude
RS-00001,ANT-FRZ-0001,0,PICKUP,,"Penjemputan — Kemayoran, Jakarta Pusat",-6.1574,106.8152
RS-00002,ANT-FRZ-0001,1,HUB,JKT-PST,Hub Jakarta Pusat,-6.1754,106.8272
RS-00003,ANT-FRZ-0001,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00004,ANT-FRZ-0001,3,HUB,JKT-SLT,Hub Jakarta Selatan,-6.2615,106.8106
RS-00005,ANT-FRZ-0001,4,DELIVERY,,"Tujuan — Pasar Minggu, Jakarta Selatan",-6.2755,106.8236
RS-00006,ANT-FRZ-0002,0,PICKUP,,"Penjemputan — Cakung, Jakarta Timur",-6.207,106.8884
RS-00007,ANT-FRZ-0002,1,HUB,JKT-UTR,Hub Jakarta Utara,-6.1384,106.8639
RS-00008,ANT-FRZ-0002,2,DELIVERY,,"Tujuan — Koja, Jakarta Utara",-6.1524,106.8769
RS-00009,ANT-FRZ-0003,0,PICKUP,,"Penjemputan — Tanah Sareal, Bogor",-6.577,106.8046
RS-00010,ANT-FRZ-0003,1,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00011,ANT-FRZ-0003,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00012,ANT-FRZ-0003,3,DELIVERY,,"Tujuan — Karawaci, Tangerang",-6.1923,106.6449
RS-00013,ANT-FRZ-0004,0,PICKUP,,"Penjemputan — Ciputat, Tangerang Selatan",-6.2706,106.7059
RS-00014,ANT-FRZ-0004,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00015,ANT-FRZ-0004,2,DELIVERY,,"Tujuan — Bekasi Timur, Bekasi",-6.2556,107.00540000000001
RS-00016,ANT-FRZ-0005,0,PICKUP,,"Penjemputan — Kebon Jeruk, Jakarta Barat",-6.1503000000000005,106.7468
RS-00017,ANT-FRZ-0005,1,HUB,JKT-BRT,Hub Jakarta Barat,-6.1683,106.7588
RS-00018,ANT-FRZ-0005,2,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00019,ANT-FRZ-0005,3,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
RS-00020,ANT-FRZ-0006,0,PICKUP,,"Penjemputan — Bekasi Barat, Bekasi",-6.2236,106.9804
RS-00021,ANT-FRZ-0006,1,HUB,BKS,Hub Bekasi,-6.2416,106.9924
RS-00022,ANT-FRZ-0006,2,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00023,ANT-FRZ-0006,3,HUB,TGS,Hub Tangerang Selatan,-6.2886,106.7179
RS-00024,ANT-FRZ-0006,4,DELIVERY,,"Tujuan — Serpong, Tangerang Selatan",-6.3026,106.7309
RS-00025,ANT-FRZ-0007,0,PICKUP,,"Penjemputan — Cipondoh, Tangerang",-6.1603,106.6199
RS-00026,ANT-FRZ-0007,1,HUB,TGR,Hub Tangerang,-6.1783,106.6319
RS-00027,ANT-FRZ-0007,2,HUB,BGR,Hub Bogor,-6.595,106.8166
RS-00028,ANT-FRZ-0007,3,DELIVERY,,"Tujuan — Bogor Utara, Bogor",-6.609,106.8296
RS-00029,ANT-FRZ-0008,0,PICKUP,,"Penjemputan — Tanjung Priok, Jakarta Utara",-6.1204,106.8519
RS-00030,ANT-FRZ-0008,1,HUB,JKT-TMR,Hub Jakarta Timur,-6.225,106.9004
RS-00031,ANT-FRZ-0008,2,DELIVERY,,"Tujuan — Duren Sawit, Jakarta Timur",-6.239,106.91340000000001
