assignment_id,awb,asset_code,asset_type,segment,started_at,ended_at
AS-00001,ANT-FRZ-0001,BAG-001,COOLER_BAG,PICKUP,2026-09-18T14:55:00.000Z,
AS-00002,ANT-FRZ-0002,BAG-002,COOLER_BAG,PICKUP,2026-09-18T14:55:00.000Z,2026-09-18T15:41:00.000Z
AS-00003,ANT-FRZ-0002,FREEZER-JKT-UTR,HUB_FREEZER,AT_HUB,2026-09-18T15:41:00.000Z,2026-09-18T16:02:00.000Z
AS-00004,ANT-FRZ-0002,BOX-02,MOBIL_BOX,IN_TRANSIT,2026-09-18T16:02:00.000Z,
AS-00005,ANT-FRZ-0003,BAG-003,COOLER_BAG,PICKUP,2026-09-18T14:49:00.000Z,
AS-00006,ANT-FRZ-0004,BAG-004,COOLER_BAG,PICKUP,2026-09-18T14:49:00.000Z,2026-09-18T15:37:00.000Z
AS-00007,ANT-FRZ-0004,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T15:37:00.000Z,2026-09-18T16:00:00.000Z
AS-00008,ANT-FRZ-0004,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T16:00:00.000Z,
AS-00009,ANT-FRZ-0005,BAG-005,COOLER_BAG,PICKUP,2026-09-18T14:43:00.000Z,
AS-00010,ANT-FRZ-0006,BAG-006,COOLER_BAG,PICKUP,2026-09-18T11:21:00.000Z,2026-09-18T12:11:00.000Z
AS-00011,ANT-FRZ-0006,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T12:11:00.000Z,2026-09-18T12:36:00.000Z
AS-00012,ANT-FRZ-0006,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T12:36:00.000Z,2026-09-18T13:29:00.000Z
AS-00013,ANT-FRZ-0006,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T13:29:00.000Z,2026-09-18T13:55:00.000Z
AS-00014,ANT-FRZ-0006,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:55:00.000Z,2026-09-18T14:51:00.000Z
AS-00015,ANT-FRZ-0006,FREEZER-TGS,HUB_FREEZER,AT_HUB,2026-09-18T14:51:00.000Z,2026-09-18T15:18:00.000Z
AS-00016,ANT-FRZ-0006,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:18:00.000Z,2026-09-18T15:58:00.000Z
AS-00017,ANT-FRZ-0006,BAG-006,COOLER_BAG,LAST_MILE,2026-09-18T15:58:00.000Z,
AS-00018,ANT-FRZ-0007,BAG-007,COOLER_BAG,PICKUP,2026-09-18T14:37:00.000Z,
AS-00019,ANT-FRZ-0008,BAG-008,COOLER_BAG,PICKUP,2026-09-18T13:55:00.000Z,2026-09-18T14:47:00.000Z
AS-00020,ANT-FRZ-0008,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T14:47:00.000Z,2026-09-18T15:14:00.000Z
AS-00021,ANT-FRZ-0008,BOX-02,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:14:00.000Z,2026-09-18T15:56:00.000Z
AS-00022,ANT-FRZ-0008,BAG-008,COOLER_BAG,LAST_MILE,2026-09-18T15:56:00.000Z,
AS-00023,ANT-FRZ-0009,BAG-009,COOLER_BAG,PICKUP,2026-09-18T15:02:00.000Z,2026-09-18T15:55:00.000Z
AS-00024,ANT-FRZ-0009,FREEZER-JKT-SLT,HUB_FREEZER,AT_HUB,2026-09-18T15:55:00.000Z,
AS-00025,ANT-FRZ-0010,BAG-010,COOLER_BAG,PICKUP,2026-09-18T13:47:00.000Z,2026-09-18T14:41:00.000Z
AS-00026,ANT-FRZ-0010,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T14:41:00.000Z,2026-09-18T15:10:00.000Z
AS-00027,ANT-FRZ-0010,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:10:00.000Z,2026-09-18T15:54:00.000Z
AS-00028,ANT-FRZ-0010,BAG-010,COOLER_BAG,LAST_MILE,2026-09-18T15:54:00.000Z,
AS-00029,ANT-FRZ-0011,BAG-011,COOLER_BAG,PICKUP,2026-09-18T13:30:00.000Z,2026-09-18T14:25:00.000Z
AS-00030,ANT-FRZ-0011,FREEZER-JKT-PST,HUB_FREEZER,AT_HUB,2026-09-18T14:25:00.000Z,2026-09-18T14:55:00.000Z
AS-00031,ANT-FRZ-0011,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:55:00.000Z,2026-09-18T15:53:00.000Z
AS-00032,ANT-FRZ-0011,FREEZER-JKT-TMR,HUB_FREEZER,AT_HUB,2026-09-18T15:53:00.000Z,
AS-00033,ANT-FRZ-0012,BAG-012,COOLER_BAG,PICKUP,2026-09-18T12:33:00.000Z,2026-09-18T13:29:00.000Z
AS-00034,ANT-FRZ-0012,FREEZER-JKT-UTR,HUB_FREEZER,AT_HUB,2026-09-18T13:29:00.000Z,2026-09-18T14:00:00.000Z
AS-00035,ANT-FRZ-0012,BOX-06,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:00:00.000Z,2026-09-18T14:46:00.000Z
AS-00036,ANT-FRZ-0012,BAG-012,COOLER_BAG,LAST_MILE,2026-09-18T14:46:00.000Z,2026-09-18T15:52:00.000Z
AS-00037,ANT-FRZ-0013,BAG-013,COOLER_BAG,PICKUP,2026-09-18T15:06:00.000Z,2026-09-18T16:03:00.000Z
AS-00038,ANT-FRZ-0013,FREEZER-BGR,HUB_FREEZER,AT_HUB,2026-09-18T16:03:00.000Z,
AS-00039,ANT-FRZ-0014,BAG-014,COOLER_BAG,PICKUP,2026-09-18T12:47:00.000Z,2026-09-18T13:45:00.000Z
AS-00040,ANT-FRZ-0014,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T13:45:00.000Z,2026-09-18T14:06:00.000Z
AS-00041,ANT-FRZ-0014,BOX-02,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:06:00.000Z,2026-09-18T14:54:00.000Z
AS-00042,ANT-FRZ-0014,BAG-014,COOLER_BAG,LAST_MILE,2026-09-18T14:54:00.000Z,2026-09-18T16:02:00.000Z
AS-00043,ANT-FRZ-0015,BAG-015,COOLER_BAG,PICKUP,2026-09-18T14:40:00.000Z,2026-09-18T15:39:00.000Z
AS-00044,ANT-FRZ-0015,FREEZER-JKT-BRT,HUB_FREEZER,AT_HUB,2026-09-18T15:39:00.000Z,2026-09-18T16:01:00.000Z
AS-00045,ANT-FRZ-0015,BOX-03,MOBIL_BOX,IN_TRANSIT,2026-09-18T16:01:00.000Z,
AS-00046,ANT-FRZ-0016,BAG-016,COOLER_BAG,PICKUP,2026-09-18T10:29:00.000Z,2026-09-18T11:29:00.000Z
AS-00047,ANT-FRZ-0016,FREEZER-BKS,HUB_FREEZER,AT_HUB,2026-09-18T11:29:00.000Z,2026-09-18T11:52:00.000Z
AS-00048,ANT-FRZ-0016,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T11:52:00.000Z,2026-09-18T12:37:00.000Z
AS-00049,ANT-FRZ-0016,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T12:37:00.000Z,2026-09-18T13:01:00.000Z
AS-00050,ANT-FRZ-0016,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T13:01:00.000Z,2026-09-18T13:49:00.000Z
AS-00051,ANT-FRZ-0016,FREEZER-TGS,HUB_FREEZER,AT_HUB,2026-09-18T13:49:00.000Z,2026-09-18T14:14:00.000Z
AS-00052,ANT-FRZ-0016,BOX-04,MOBIL_BOX,IN_TRANSIT,2026-09-18T14:14:00.000Z,2026-09-18T14:50:00.000Z
AS-00053,ANT-FRZ-0016,BAG-016,COOLER_BAG,LAST_MILE,2026-09-18T14:50:00.000Z,2026-09-18T16:00:00.000Z
AS-00054,ANT-FRZ-0017,BAG-017,COOLER_BAG,PICKUP,2026-09-18T14:34:00.000Z,2026-09-18T15:35:00.000Z
AS-00055,ANT-FRZ-0017,FREEZER-TGR,HUB_FREEZER,AT_HUB,2026-09-18T15:35:00.000Z,2026-09-18T15:59:00.000Z
AS-00056,ANT-FRZ-0017,BOX-05,MOBIL_BOX,IN_TRANSIT,2026-09-18T15:59:00.000Z,
