event_id,awb,event_code,stage,occurred_at,hub_code,completed_stop_order,source_event_key
EV-00001,ANT-FRZ-0001,PICKED_UP,PICKED_UP,2026-09-18T14:55:00.000Z,,0,ANT-FRZ-0001-00
EV-00002,ANT-FRZ-0002,PICKED_UP,PICKED_UP,2026-09-18T14:55:00.000Z,,0,ANT-FRZ-0002-00
EV-00003,ANT-FRZ-0002,ARRIVED_HUB,AT_HUB,2026-09-18T15:41:00.000Z,JKT-UTR,1,ANT-FRZ-0002-01
EV-00004,ANT-FRZ-0002,LEFT_HUB,IN_TRANSIT,2026-09-18T16:02:00.000Z,JKT-UTR,1,ANT-FRZ-0002-02
EV-00005,ANT-FRZ-0003,PICKED_UP,PICKED_UP,2026-09-18T14:49:00.000Z,,0,ANT-FRZ-0003-00
EV-00006,ANT-FRZ-0004,PICKED_UP,PICKED_UP,2026-09-18T14:49:00.000Z,,0,ANT-FRZ-0004-00
EV-00007,ANT-FRZ-0004,ARRIVED_HUB,AT_HUB,2026-09-18T15:37:00.000Z,BKS,1,ANT-FRZ-0004-01
EV-00008,ANT-FRZ-0004,LEFT_HUB,IN_TRANSIT,2026-09-18T16:00:00.000Z,BKS,1,ANT-FRZ-0004-02
EV-00009,ANT-FRZ-0005,PICKED_UP,PICKED_UP,2026-09-18T14:43:00.000Z,,0,ANT-FRZ-0005-00
EV-00010,ANT-FRZ-0006,PICKED_UP,PICKED_UP,2026-09-18T11:21:00.000Z,,0,ANT-FRZ-0006-00
EV-00011,ANT-FRZ-0006,ARRIVED_HUB,AT_HUB,2026-09-18T12:11:00.000Z,BKS,1,ANT-FRZ-0006-01
EV-00012,ANT-FRZ-0006,LEFT_HUB,IN_TRANSIT,2026-09-18T12:36:00.000Z,BKS,1,ANT-FRZ-0006-02
EV-00013,ANT-FRZ-0006,ARRIVED_HUB,AT_HUB,2026-09-18T13:29:00.000Z,TGR,2,ANT-FRZ-0006-03
EV-00014,ANT-FRZ-0006,LEFT_HUB,IN_TRANSIT,2026-09-18T13:55:00.000Z,TGR,2,ANT-FRZ-0006-04
EV-00015,ANT-FRZ-0006,ARRIVED_HUB,AT_HUB,2026-09-18T14:51:00.000Z,TGS,3,ANT-FRZ-0006-05
EV-00016,ANT-FRZ-0006,LEFT_HUB,IN_TRANSIT,2026-09-18T15:18:00.000Z,TGS,3,ANT-FRZ-0006-06
EV-00017,ANT-FRZ-0006,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T15:58:00.000Z,,3,ANT-FRZ-0006-07
EV-00018,ANT-FRZ-0007,PICKED_UP,PICKED_UP,2026-09-18T14:37:00.000Z,,0,ANT-FRZ-0007-00
EV-00019,ANT-FRZ-0008,PICKED_UP,PICKED_UP,2026-09-18T13:55:00.000Z,,0,ANT-FRZ-0008-00
EV-00020,ANT-FRZ-0008,ARRIVED_HUB,AT_HUB,2026-09-18T14:47:00.000Z,JKT-TMR,1,ANT-FRZ-0008-01
EV-00021,ANT-FRZ-0008,LEFT_HUB,IN_TRANSIT,2026-09-18T15:14:00.000Z,JKT-TMR,1,ANT-FRZ-0008-02
EV-00022,ANT-FRZ-0008,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T15:56:00.000Z,,1,ANT-FRZ-0008-03
EV-00023,ANT-FRZ-0009,PICKED_UP,PICKED_UP,2026-09-18T15:02:00.000Z,,0,ANT-FRZ-0009-00
EV-00024,ANT-FRZ-0009,ARRIVED_HUB,AT_HUB,2026-09-18T15:55:00.000Z,JKT-SLT,1,ANT-FRZ-0009-01
EV-00025,ANT-FRZ-0010,PICKED_UP,PICKED_UP,2026-09-18T13:47:00.000Z,,0,ANT-FRZ-0010-00
EV-00026,ANT-FRZ-0010,ARRIVED_HUB,AT_HUB,2026-09-18T14:41:00.000Z,TGR,1,ANT-FRZ-0010-01
EV-00027,ANT-FRZ-0010,LEFT_HUB,IN_TRANSIT,2026-09-18T15:10:00.000Z,TGR,1,ANT-FRZ-0010-02
EV-00028,ANT-FRZ-0010,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T15:54:00.000Z,,1,ANT-FRZ-0010-03
EV-00029,ANT-FRZ-0011,PICKED_UP,PICKED_UP,2026-09-18T13:30:00.000Z,,0,ANT-FRZ-0011-00
EV-00030,ANT-FRZ-0011,ARRIVED_HUB,AT_HUB,2026-09-18T14:25:00.000Z,JKT-PST,1,ANT-FRZ-0011-01
EV-00031,ANT-FRZ-0011,LEFT_HUB,IN_TRANSIT,2026-09-18T14:55:00.000Z,JKT-PST,1,ANT-FRZ-0011-02
EV-00032,ANT-FRZ-0011,ARRIVED_HUB,AT_HUB,2026-09-18T15:53:00.000Z,JKT-TMR,2,ANT-FRZ-0011-03
EV-00033,ANT-FRZ-0012,PICKED_UP,PICKED_UP,2026-09-18T12:33:00.000Z,,0,ANT-FRZ-0012-00
EV-00034,ANT-FRZ-0012,ARRIVED_HUB,AT_HUB,2026-09-18T13:29:00.000Z,JKT-UTR,1,ANT-FRZ-0012-01
EV-00035,ANT-FRZ-0012,LEFT_HUB,IN_TRANSIT,2026-09-18T14:00:00.000Z,JKT-UTR,1,ANT-FRZ-0012-02
EV-00036,ANT-FRZ-0012,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,2026-09-18T14:46:00.000Z,,1,ANT-FRZ-0012-03
EV-00037,ANT-FRZ-0012,DELIVERED,DELIVERED,2026-09-18T15:52:00.000Z,,2,ANT-FRZ-0012-04
EV-00038,ANT-FRZ-0013,PICKED_UP,PICKED_UP,2026-09-18T15:06:00.000Z,,0,ANT-FRZ-0013-00
EV-00039,ANT-FRZ-0013,ARRIVED_HUB,AT_HUB,2026-09-18T16:03:00.000Z,BGR,1,ANT-FRZ-0013-01
