awb,pickup_area,pickup_point,delivery_area,delivery_point,current_stage,pickup_at,last_stage_at,completed_stop_order,route_hub_count,scenario_key
ANT-FRZ-0001,Jakarta Pusat,"Kemayoran, Jakarta Pusat",Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",PICKED_UP,2026-09-18T14:55:00.000Z,2026-09-18T14:55:00.000Z,0,3,PICKED_UP_3HUB
ANT-FRZ-0002,Jakarta Timur,"Cakung, Jakarta Timur",Jakarta Utara,"Koja, Jakarta Utara",IN_TRANSIT,2026-09-18T14:55:00.000Z,2026-09-18T16:02:00.000Z,1,1,IN_TRANSIT_1HUB
ANT-FRZ-0003,Bogor,"Tanah Sareal, Bogor",Tangerang,"Karawaci, Tangerang",PICKED_UP,2026-09-18T14:49:00.000Z,2026-09-18T14:49:00.000Z,0,2,PICKED_UP_2HUB
ANT-FRZ-0004,Tangerang Selatan,"Ciputat, Tangerang Selatan",Bekasi,"Bekasi Timur, Bekasi",IN_TRANSIT,2026-09-18T14:49:00.000Z,2026-09-18T16:00:00.000Z,1,1,IN_TRANSIT_1HUB
ANT-FRZ-0005,Jakarta Barat,"Kebon Jeruk, Jakarta Barat",Jakarta Timur,"Duren Sawit, Jakarta Timur",PICKED_UP,2026-09-18T14:43:00.000Z,2026-09-18T14:43:00.000Z,0,2,PICKED_UP_2HUB
ANT-FRZ-0006,Bekasi,"Bekasi Barat, Bekasi",Tangerang Selatan,"Serpong, Tangerang Selatan",OUT_FOR_DELIVERY,2026-09-18T11:21:00.000Z,2026-09-18T15:58:00.000Z,3,3,OUT_FOR_DELIVERY_3HUB
ANT-FRZ-0007,Tangerang,"Cipondoh, Tangerang",Bogor,"Bogor Utara, Bogor",PICKED_UP,2026-09-18T14:37:00.000Z,2026-09-18T14:37:00.000Z,0,2,PICKED_UP_2HUB
ANT-FRZ-0008,Jakarta Utara,"Tanjung Priok, Jakarta Utara",Jakarta Timur,"Duren Sawit, Jakarta Timur",OUT_FOR_DELIVERY,2026-09-18T13:55:00.000Z,2026-09-18T15:56:00.000Z,1,1,OUT_FOR_DELIVERY_1HUB
ANT-FRZ-0009,Jakarta Selatan,"Cilandak, Jakarta Selatan",Jakarta Pusat,"Senen, Jakarta Pusat",AT_HUB,2026-09-18T15:02:00.000Z,2026-09-18T15:55:00.000Z,1,2,AT_HUB_2HUB
ANT-FRZ-0010,Depok,"Beji, Depok",Tangerang,"Karawaci, Tangerang",OUT_FOR_DELIVERY,2026-09-18T13:47:00.000Z,2026-09-18T15:54:00.000Z,1,1,OUT_FOR_DELIVERY_1HUB
