reading_id,asset_code,source,message_id,request_id,trigger,observed_at,received_at,temperature_c,temperature_status
TR-00176,BAG-031,SEED,TEMP-00176,,SEED,2026-09-18T10:18:00.000Z,2026-09-18T10:19:00.000Z,-4.3,NORMAL
TR-00078,BAG-016,SEED,TEMP-00078,,SEED,2026-09-18T10:34:00.000Z,2026-09-18T10:35:00.000Z,-1.3,WARNING
TR-00177,BAG-031,SEED,TEMP-00177,,SEED,2026-09-18T10:48:00.000Z,2026-09-18T10:49:00.000Z,-4.6,NORMAL
TR-00260,BAG-046,SEED,TEMP-00260,,SEED,2026-09-18T11:00:00.000Z,2026-09-18T11:01:00.000Z,-1.3,WARNING
TR-00079,BAG-016,SEED,TEMP-00079,,SEED,2026-09-18T11:04:00.000Z,2026-09-18T11:05:00.000Z,-5.4,NORMAL
TR-00388,BAG-069,SEED,TEMP-00388,,SEED,2026-09-18T11:15:00.000Z,2026-09-18T11:16:00.000Z,-4.4,NORMAL
TR-00178,FREEZER-JKT-PST,SEED,TEMP-00178,,SEED,2026-09-18T11:15:00.000Z,2026-09-18T11:16:00.000Z,-3.5,NORMAL
TR-00192,BAG-033,SEED,TEMP-00192,,SEED,2026-09-18T11:17:00.000Z,2026-09-18T11:18:00.000Z,-4.4,NORMAL
TR-00207,BAG-035,SEED,TEMP-00207,,SEED,2026-09-18T11:21:00.000Z,2026-09-18T11:22:00.000Z,-4.7,NORMAL
TR-00018,BAG-006,SEED,TEMP-00018,,SEED,2026-09-18T11:26:00.000Z,2026-09-18T11:27:00.000Z,-4.9,NORMAL
TR-00374,BAG-067,SEED,TEMP-00374,,SEED,2026-09-18T11:29:00.000Z,2026-09-18T11:30:00.000Z,-5.6,NORMAL
TR-00261,BAG-046,SEED,TEMP-00261,,SEED,2026-09-18T11:30:00.000Z,2026-09-18T11:31:00.000Z,-5.1,NORMAL
TR-00080,FREEZER-BKS,SEED,TEMP-00080,,SEED,2026-09-18T11:34:00.000Z,2026-09-18T11:35:00.000Z,-2.7,NORMAL
TR-00179,BOX-01,SEED,TEMP-00179,,SEED,2026-09-18T11:41:00.000Z,2026-09-18T11:42:00.000Z,-5.8,NORMAL
TR-00355,BAG-065,SEED,TEMP-00355,,SEED,2026-09-18T11:43:00.000Z,2026-09-18T11:44:00.000Z,-4.7,NORMAL
TR-00331,BAG-061,SEED,TEMP-00331,,SEED,2026-09-18T11:44:00.000Z,2026-09-18T11:45:00.000Z,-5.1,NORMAL
TR-00164,BAG-029,SEED,TEMP-00164,,SEED,2026-09-18T11:45:00.000Z,2026-09-18T11:46:00.000Z,1.2,CRITICAL
TR-00389,BAG-069,SEED,TEMP-00389,,SEED,2026-09-18T11:45:00.000Z,2026-09-18T11:46:00.000Z,-4.6,NORMAL
TR-00193,BAG-033,SEED,TEMP-00193,,SEED,2026-09-18T11:47:00.000Z,2026-09-18T11:48:00.000Z,-5.3,NORMAL
TR-00208,BAG-035,SEED,TEMP-00208,,SEED,2026-09-18T11:51:00.000Z,2026-09-18T11:52:00.000Z,-1.3,WARNING
TR-00262,FREEZER-BKS,SEED,TEMP-00262,,SEED,2026-09-18T11:54:00.000Z,2026-09-18T11:55:00.000Z,-3.9,NORMAL
TR-00019,BAG-006,SEED,TEMP-00019,,SEED,2026-09-18T11:56:00.000Z,2026-09-18T11:57:00.000Z,-4.8,NORMAL
