asset_code,asset_type,display_name
BAG-001,COOLER_BAG,Cooler bag 001
BAG-002,COOLER_BAG,Cooler bag 002
BAG-003,COOLER_BAG,Cooler bag 003
BAG-004,COOLER_BAG,Cooler bag 004
BAG-005,COOLER_BAG,Cooler bag 005
BAG-006,COOLER_BAG,Cooler bag 006
BAG-007,COOLER_BAG,Cooler bag 007
BAG-008,COOLER_BAG,Cooler bag 008
BAG-009,COOLER_BAG,Cooler bag 009
BAG-010,COOLER_BAG,Cooler bag 010
BAG-011,COOLER_BAG,Cooler bag 011
BAG-012,COOLER_BAG,Cooler bag 012
BAG-013,COOLER_BAG,Cooler bag 013
BAG-014,COOLER_BAG,Cooler bag 014
BAG-015,COOLER_BAG,Cooler bag 015
BAG-016,COOLER_BAG,Cooler bag 016
BAG-017,COOLER_BAG,Cooler bag 017
BAG-018,COOLER_BAG,Cooler bag 018
BAG-019,COOLER_BAG,Cooler bag 019
BAG-020,COOLER_BAG,Cooler bag 020
BAG-021,COOLER_BAG,Cooler bag 021
BAG-022,COOLER_BAG,Cooler bag 022
BAG-023,COOLER_BAG,Cooler bag 023
BAG-024,COOLER_BAG,Cooler bag 024
BAG-025,COOLER_BAG,Cooler bag 025
BAG-026,COOLER_BAG,Cooler bag 026
BAG-027,COOLER_BAG,Cooler bag 027
BAG-028,COOLER_BAG,Cooler bag 028
BAG-029,COOLER_BAG,Cooler bag 029
BAG-030,COOLER_BAG,Cooler bag 030
BAG-031,COOLER_BAG,Cooler bag 031
BAG-032,COOLER_BAG,Cooler bag 032
BAG-033,COOLER_BAG,Cooler bag 033
BAG-034,COOLER_BAG,Cooler bag 034
BAG-035,COOLER_BAG,Cooler bag 035
BAG-036,COOLER_BAG,Cooler bag 036
BAG-037,COOLER_BAG,Cooler bag 037
BAG-038,COOLER_BAG,Cooler bag 038
BAG-039,COOLER_BAG,Cooler bag 039
BAG-040,COOLER_BAG,Cooler bag 040
BAG-041,COOLER_BAG,Cooler bag 041
BAG-042,COOLER_BAG,Cooler bag 042
BAG-043,COOLER_BAG,Cooler bag 043
BAG-044,COOLER_BAG,Cooler bag 044
BAG-045,COOLER_BAG,Cooler bag 045
BAG-046,COOLER_BAG,Cooler bag 046
BAG-047,COOLER_BAG,Cooler bag 047
BAG-048,COOLER_BAG,Cooler bag 048
BAG-049,COOLER_BAG,Cooler bag 049
BAG-050,COOLER_BAG,Cooler bag 050
BAG-051,COOLER_BAG,Cooler bag 051
BAG-052,COOLER_BAG,Cooler bag 052
BAG-053,COOLER_BAG,Cooler bag 053
BAG-054,COOLER_BAG,Cooler bag 054
BAG-055,COOLER_BAG,Cooler bag 055
BAG-056,COOLER_BAG,Cooler bag 056
BAG-057,COOLER_BAG,Cooler bag 057
BAG-058,COOLER_BAG,Cooler bag 058
BAG-059,COOLER_BAG,Cooler bag 059
BAG-060,COOLER_BAG,Cooler bag 060
BAG-061,COOLER_BAG,Cooler bag 061
BAG-062,COOLER_BAG,Cooler bag 062
BAG-063,COOLER_BAG,Cooler bag 063
BAG-064,COOLER_BAG,Cooler bag 064
BAG-065,COOLER_BAG,Cooler bag 065
BAG-066,COOLER_BAG,Cooler bag 066
BAG-067,COOLER_BAG,Cooler bag 067
BAG-068,COOLER_BAG,Cooler bag 068
BAG-069,COOLER_BAG,Cooler bag 069
BAG-070,COOLER_BAG,Cooler bag 070
FREEZER-JKT-PST,HUB_FREEZER,Freezer Jakarta Pusat
FREEZER-JKT-UTR,HUB_FREEZER,Freezer Jakarta Utara
FREEZER-JKT-BRT,HUB_FREEZER,Freezer Jakarta Barat
FREEZER-JKT-TMR,HUB_FREEZER,Freezer Jakarta Timur
FREEZER-JKT-SLT,HUB_FREEZER,Freezer Jakarta Selatan
FREEZER-BKS,HUB_FREEZER,Freezer Bekasi
FREEZER-BGR,HUB_FREEZER,Freezer Bogor
FREEZER-DPK,HUB_FREEZER,Freezer Depok
FREEZER-TGR,HUB_FREEZER,Freezer Tangerang
FREEZER-TGS,HUB_FREEZER,Freezer Tangerang Selatan
BOX-01,MOBIL_BOX,Mobil boks 01
BOX-02,MOBIL_BOX,Mobil boks 02
BOX-03,MOBIL_BOX,Mobil boks 03
BOX-04,MOBIL_BOX,Mobil boks 04
BOX-05,MOBIL_BOX,Mobil boks 05
BOX-06,MOBIL_BOX,Mobil boks 06
